balloon_id,max_altitude,max_agl,avg_ascent_rate,max_ascent_rate,min_ascent_rate
0,11.5049713786316,5357.5666491014135,-0.9486864279287343,-0.31082248587653893,-2.6164674291579457
1,21.751384070689582,3196.358310255819,0.7650699529302589,8.529136530657707,-5.793750714871308
2,21.54666757239213,3050.3145420779692,1.9489738484764274,4.0183958201212695,-0.03967693997717525
3,12.38064838570344,4466.093324739902,-0.7781343731809003,1.725179119482556,-3.749932399329447
4,21.91156486870213,2829.8891286687885,1.7588201056096395,11.239194179862759,-10.590444690451722
5,21.272254686492253,2816.940951719919,0.47629336718489695,8.787299748572831,-6.24454043201297
6,21.835036579686232,5713.093698524054,1.2345801861644492,13.288097825906327,-10.967096408775857
7,21.481492264948624,5491.726698032849,-1.4819455117395453,5.541396552267491,-10.600213195034936
8,21.937927621914817,-304.0057130510892,0.16261673443809777,8.18315274405232,-13.902177042871113
9,21.781933307435686,5223.458202838686,1.679050762441646,7.0311758149663355,-2.4851490703975294
10,21.999666694295502,3843.6219432936077,0.01566715609497196,8.634443171396919,-10.34746391547932
11,21.94607013228215,5022.304563238865,1.5986727899672661,5.5448603229755715,-1.684057000191081
12,18.442934056719082,3625.7149412920708,-0.6860157628922875,4.84464177635063,-6.876107941556179
13,21.874157558738975,4239.106999547969,1.3232930770806282,13.387996943596278,-11.122482578201701
14,21.90619304837995,4327.994300896341,-1.190272455598926,0.7753743989253721,-3.455722972579535
15,19.242593705087835,4502.739175787101,1.3696722926465172,9.715934627831633,-7.227698459768648
16,21.63563221536001,5261.23865955911,-0.21903856245972353,7.027333381289489,-6.510431037784736
17,21.965578237270165,6125.620917112961,0.24076678725134704,6.875402833315427,-8.541649897186124
18,21.992232373954614,4940.858655751679,0.9103103721804452,9.178186575553962,-6.360962565344586
19,21.957979917490924,3590.6194409809223,-1.3322258629646846,3.221597206734219,-5.690417681736909
20,21.999997003369046,4261.722149101084,-0.16175334242700004,0.023357971673405586,-0.4586755515192813
21,7.389586434915292,5496.092508895216,-0.5057161902861549,-0.2748140190400523,-1.2623528470733891
22,21.931768059296076,3281.6349764537067,-0.563446428996424,7.188773724073565,-8.02016885729148
23,16.81286928596296,4927.705447410963,1.3729903531072316,3.410911215178544,-0.553505996148612
24,21.69234224949263,3393.3348149545864,-0.5763997653770236,9.901514141365114,-15.106113127266205
25,21.877067584813435,5375.235817218433,-0.29224501039041595,7.23803863327511,-6.550191146959586
26,15.962252697456838,5253.552212003235,-1.0613778785650005,-0.5931355360858248,-2.284083847638989
27,17.47126411233997,3536.00446723734,-0.6139206090679868,4.6396423313447706,-6.377867488381528
28,21.986928386885317,5510.757877281999,-1.7585724934526372,10.355236476491047,-10.8666332775347
29,21.995952481599396,3169.4436800070903,-0.013872387359544014,11.96551948309434,-8.203322207654383
30,18.098608189206995,4046.308324986082,1.4102894246262099,3.8335273061857063,-0.8583235073909705
31,21.854227377219143,4833.393289877219,0.3783255924409703,7.596092323750485,-13.93490993902567
32,21.613501000417436,4490.291475592299,1.6106475853913225,10.682320727955327,-9.853416310875197
33,21.5568341703746,-446.8926170363439,-1.1727556316992773,9.74237272863454,-9.550644271082737
34,21.99893096544111,4299.274809871691,1.833042040080371,10.916080883407796,-5.699854155415202
35,7.508327081028518,5906.325291479142,-0.539370505603314,-0.2742328523854951,-1.4160637831186023
36,21.980535058875322,3559.72623716776,-1.4362139311750541,4.136262515088594,-7.908384386376907
37,17.14368918014365,2195.8693013766847,0.7750462022209057,1.6235845409846945,0.43855851549204417
38,21.752501503036466,5191.6626301268325,0.012959182674665292,12.127854924991283,-7.821889732853255
39,21.339215556394652,4029.76757177048,0.5554618376121843,7.333024390302446,-8.82195749245722
40,21.97932596911548,2468.09811860761,0.015855089888535012,2.6771314727771163,-3.1014091072507917
41,21.99550524303826,5488.927169221149,-0.7078465679825069,4.035190172824397,-5.846548980585409
42,21.360929105914295,5487.830293224301,-0.976269960573945,11.159556507772624,-10.058073885040542
43,21.101639616847386,5414.287215753844,0.08146416356816619,7.59905580273538,-6.974952781055288
44,17.461808861642936,4895.177778353044,-0.34679681413642865,5.213909046633491,-6.5121345806081745
45,21.96846682572332,5160.4179518459505,-0.11401604239378357,8.642071259627283,-15.184870224081328
46,21.999892332788612,4727.272735892312,-0.4413903422704548,1.0094526844218628,-2.8612831810727943
47,21.877881816469845,5718.418792989566,0.05417699911422549,7.3380794667311005,-9.766876023464764
48,21.958206157623316,4355.385234130965,-1.5233329989124091,1.8150212563674515,-5.851089361681213
49,21.706671595422875,4809.730490350893,-1.125416778391126,1.5884241409772493,-4.49446588989314
50,3.8110047266326106,5490.489450526332,0.1529641567708996,0.6020443541091378,-0.10125642485952291
51,20.81733989140622,4065.1007871570314,0.7967325055371891,5.600288395479417,-3.268938804146826
52,21.904055816533138,-271.1598409036476,0.39025287467360964,8.71387620742774,-13.606066849711425
53,21.83209103895393,5297.8234020709015,1.846628475635135,10.313080554926119,-5.943504053172134
54,21.594313888696774,-158.76030370514465,1.1950695615975357,6.418455302220471,-4.860892301674932
55,21.820062791687427,-16.327965623386426,0.8175369211573618,8.336318684896945,-5.596781604485294
56,8.767791636623969,3939.3744810897488,-0.21608387179165298,2.2633214384483926,-2.4888141482375374
57,21.638170281874757,3610.46269046574,1.7227237628634975,9.89987572923619,-5.584527677152598
58,21.995199686016043,-266.5084202009499,-1.571928023212625,11.22299662051973,-13.08171317167296
59,15.428797409753914,26.912448130607945,1.1190048102648897,3.438903082265792,-0.8360019692065137
60,21.50292589614818,4720.355803657482,-0.3750477977300594,12.002534752872105,-9.166562080466122
61,21.645224416968247,52.49564191234567,0.8817920409935127,6.537483452874522,-4.160636407205665
62,21.999641844572913,4999.461577276291,0.8458712749946322,3.495720347685669,-1.1886837994702901
63,21.96855464801447,4958.800057878505,1.2784997070478805,7.677997392627091,-4.8602921101460765
64,21.894664360970914,5303.924468287574,0.2817435194348878,0.7271263526128244,0.14340970937719533
65,21.89727003513796,-868.1450369331851,0.4477255643172716,7.425720320974879,-5.563778446872231
66,21.152958330668945,366.26429029533784,-0.5602443814350376,8.98176015333885,-6.985256170096708
67,20.819509805796727,3973.1345369759933,1.8410599231917444,3.911723448809477,-0.33467474997162583
68,21.99854583447793,5444.4494518310175,1.004412017664786,5.736769707329561,-3.074126959747172
